"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"100","1973-01-08T08:32:40.800Z",17.661,-94.425,163,4.6,"mb",NA,NA,NA,NA,"us","usp000002k","2014-11-06T23:21:07.449Z","Veracruz, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"101","1973-01-02T03:03:46.700Z",18.923,-104.127,33,4.6,"mb",NA,NA,NA,NA,"us","usp000000b","2014-11-06T23:21:07.217Z","offshore Colima, Mexico","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"102","1972-12-23T06:29:44.000Z",12.184,-86.223,10,6.3,"mw",NA,NA,NA,NA,"iscgem","iscgem766571","2017-04-26T17:26:29.510Z","Nicaragua","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"103","1972-11-19T04:35:26.000Z",13.061,-88.601,70.7,5.7,"mw",NA,NA,NA,NA,"iscgem","iscgem767495","2015-05-13T18:53:07.000Z","offshore El Salvador","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"104","1972-11-13T04:43:46.000Z",15.612,-95.036,15,6.6,"mw",NA,NA,NA,NA,"iscgem","iscgem767301","2015-05-13T18:53:07.000Z","offshore Oaxaca, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"105","1972-10-20T08:17:49.000Z",18.827,-106.788,20,6.7,"mw",NA,NA,NA,NA,"iscgem","iscgem768538","2015-05-13T18:53:07.000Z","off the coast of Jalisco, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"106","1972-09-16T09:14:35.000Z",15.216,-96.327,30,6,"mw",NA,NA,NA,NA,"iscgem","iscgem769443","2015-05-13T18:53:07.000Z","offshore Oaxaca, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"107","1972-07-08T12:10:52.000Z",16.209,-97.063,27.5,5.6,"mw",NA,NA,NA,NA,"iscgem","iscgem771416","2015-05-13T18:53:06.000Z","Oaxaca, Mexico","earthquake",NA,NA,NA,NA,"automatic","iscgem","iscgem"
"108","1982-03-01T19:00:03.350Z",16.482,-92.608,233,5.1,"mb",NA,NA,NA,1.1,"us","usp0001jx7","2014-11-07T00:30:55.719Z","Chiapas, Mexico","earthquake",NA,2.5,NA,12,"reviewed","us","us"
"109","1982-02-28T08:36:25.830Z",15.421,-91.845,181.1,4.9,"mb",NA,NA,NA,1.4,"us","usp0001jw3","2014-11-07T00:30:53.754Z","Guatemala","earthquake",NA,4,NA,5,"reviewed","us","us"
"110","1982-02-20T21:50:55.320Z",24.855,-108.787,10,5.1,"ms",NA,NA,NA,1.5,"us","usp0001jr8","2014-11-07T00:30:52.288Z","Gulf of California","earthquake",NA,NA,NA,1,"reviewed","us","us"
"111","1982-02-18T05:11:18.930Z",18.988,-108.712,10,4.5,"mb",NA,NA,NA,1.1,"us","usp0001jph","2014-11-07T00:30:51.861Z","Revilla Gigedo Islands region","earthquake",NA,NA,NA,3,"reviewed","us","us"
"112","1982-02-09T19:30:10.400Z",17.288,-101.329,33,4.7,"mb",NA,NA,NA,0.8,"us","usp0001jja","2014-11-07T00:30:50.229Z","offshore Guerrero, Mexico","earthquake",NA,NA,NA,3,"reviewed","us","us"
